name,current_price,original_price,discount_pct,rating,review_count,image_url,product_url
"ASUS ROG Strix Scope II X Wired USB Mechanical Gaming Keyboard – 100% Full-Size, Hot Swappable Pre-lubed ROG NX Snow V2 Linear Switches, PBT Keycaps, RGB, PC/Mac Support - Black","$36,208.71",,,,Xbox,https://m.media-amazon.com/images/I/71iyRkaBAEL._AC_UY218_.jpg,https://www.amazon.com/Strix-Scope-Wired-Mechanical-Gaming-Keyboard/dp/B0FGGZK4X7/ref=sr_1_11?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-11
"Womier SK80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard Creamy Sound, Wired Hot Swappable Gasket Mount RGB Custom Key Board, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa","$15,874.56",,,,,https://m.media-amazon.com/images/I/71duf0rTDqL._AC_UY218_.jpg,https://www.amazon.com/XVX-Mechanical-Swappable-Pre-lubed-Stabilizer/dp/B0C9ZJHQHM/ref=sr_1_12?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-12
Razer Tartarus V2 Gaming Keypad: Mecha Membrane Key Switches - One Handed Keyboard - 32 Programmable Keys - Customizable Chroma RGB Lighting - Programmable Macros - Snap Tap - Black,,,,,,https://m.media-amazon.com/images/I/71r3ktfakgL._AC_UY218_.jpg,https://www.amazon.com/Razer-Tartarus-Progammable-Detachable-Mecha-Membrane/dp/B07754PYFK/ref=sr_1_13?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-13
"AULA WIN68 HE Mechanical Gaming Keyboard 60%, Hall Effect Magnetic Switch, Fast Trigger Mode Adjustable Actuation, 8000Hz Polling Rate, RGB Backlit, Wired Black Keyboard for Laptop/PC Gamer","$11,139.21","PKR 13,924.71",,,,https://m.media-amazon.com/images/I/61uArG8glcL._AC_UY218_.jpg,https://www.amazon.com/AULA-Mechanical-Keyboard-Adjustable-Actuation/dp/B0DT43NNNF/ref=sr_1_14?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-14
"Logitech G413 SE Full-Size Mechanical Gaming Keyboard - Backlit Keyboard with Tactile Mechanical Switches, Anti-Ghosting, Compatible with Windows, macOS - Black Aluminum",,,,,,https://m.media-amazon.com/images/I/61thTSgqWOL._AC_UY218_.jpg,https://www.amazon.com/Logitech-Full-Size-Mechanical-Anti-Ghosting-Keys-White/dp/B08Z6X4NK3/ref=sr_1_15?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-15
"Logitech G915 X Lightspeed Low-Profile Wireless Gaming Keyboard, Double-Shot PBT Keycaps, Fully Programmable Keys, RGB Backlighting, Sleek Aluminum Finishing, GL Red Linear Switches - PC/Mac - Black","$63,228.06","PKR 72,420.21",,,,https://m.media-amazon.com/images/I/61iged2bMlL._AC_UY218_.jpg,https://www.amazon.com/Logitech-Low-Profile-Double-Shot-Programmable-Backlighting/dp/B0DB1WY5L9/ref=sr_1_16?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-16
"AULA F99 Wireless Mechanical Keyboard,Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,RGB Backlit Computer Gaming Keyboards for PC/Tablet/PS/Xbox","$18,058.40","PKR 19,011.04",,,,https://m.media-amazon.com/images/I/61mB8mL33pL._AC_UY218_.jpg,https://www.amazon.com/AULA-F99-Mechanical-Bluetooth-Swappable/dp/B0CLLHSWRL/ref=sr_1_17?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.--Cx334hlmif8kood8PM3swpwk3lffEKyfsSRw09xZNqCznWyoviXaQh1n7OOf0Rs29m_3yPK79xsGE9znAEJcXbqFVvTHFXSSrW1gRk4RY2mlTHKMXpcFOD7rH5ifso3qZB_HiPDWqfCSVMtakgTM9eDztb1S21SHus7jJgeb_sPLpBjFisuQXR32SeIre7e4SwJfsLrk6TGO8LUvYnmawtUBwwstHjE192l0auuP8.vv9H4YSBr0TOZElW0zur7Af8vdvJgGakawoUHnSAKzI&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611794&sprefix=best+gaming+keyboard%2Caps%2C680&xpid=vT6Wq3pbOmWqX
"Corsair Vanguard 96 Wired Mechanical Gaming Keyboard – 96% Layout, MLX Fusion Tactile Switches, 8000Hz Polling, LCD Display, Virtual Stream Deck, G-Keys, SOCD Flashtap, QWERTY US – Black","$41,779.71","PKR 50,136.21",,,,https://m.media-amazon.com/images/I/71fjsPsNCdL._AC_UY218_.jpg,https://www.amazon.com/Corsair-Vanguard-Mechanical-Gaming-Keyboard-pc/dp/B0FKHNFR8G/ref=sr_1_18?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.--Cx334hlmif8kood8PM3swpwk3lffEKyfsSRw09xZNqCznWyoviXaQh1n7OOf0Rs29m_3yPK79xsGE9znAEJcXbqFVvTHFXSSrW1gRk4RY2mlTHKMXpcFOD7rH5ifso3qZB_HiPDWqfCSVMtakgTM9eDztb1S21SHus7jJgeb_sPLpBjFisuQXR32SeIre7e4SwJfsLrk6TGO8LUvYnmawtUBwwstHjE192l0auuP8.vv9H4YSBr0TOZElW0zur7Af8vdvJgGakawoUHnSAKzI&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611794&sprefix=best+gaming+keyboard%2Caps%2C680&xpid=vT6Wq3pbOmWqX
"GravaStar Mercury K1 Lite 75% Gaming Keyboard, 2.4GHz/BT/Wired Tri-Mode Wireless Keyboard, Gasket Hot Swappable Mechanical Keyboard, Pre-lubed Linear Switches, RGB Backlit (Transparent Black)","$25,055.57",,"GravaStar Mercury K1 Lite 75% Gaming Keyboard, 2.4GHz/BT/Wired Tri-Mode Wireless Keyboard, Gasket Hot Swappable Mechanical Keyboard, Pre-lubed Linear Switches, RGB Backlit (Transparent Black)4.74.7 out of 5 stars(1.1K)400+ bought in past monthPrice, product pagePKR 25,055.57PKR25,055.57Save 10%10% off coupon appliedSave 10%with couponPKR 15,030.56 deliveryThu, Jun 4Ships to PakistanAdd to cart+3 other colors/patterns",,,https://m.media-amazon.com/images/I/715K6h7qztL._AC_UY218_.jpg,https://www.amazon.com/GravaStar-K1-Lite-Mechanical-Swappable/dp/B0DFXWQWB8/ref=sr_1_19?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.--Cx334hlmif8kood8PM3swpwk3lffEKyfsSRw09xZNqCznWyoviXaQh1n7OOf0Rs29m_3yPK79xsGE9znAEJcXbqFVvTHFXSSrW1gRk4RY2mlTHKMXpcFOD7rH5ifso3qZB_HiPDWqfCSVMtakgTM9eDztb1S21SHus7jJgeb_sPLpBjFisuQXR32SeIre7e4SwJfsLrk6TGO8LUvYnmawtUBwwstHjE192l0auuP8.vv9H4YSBr0TOZElW0zur7Af8vdvJgGakawoUHnSAKzI&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611794&sprefix=best+gaming+keyboard%2Caps%2C680&xpid=vT6Wq3pbOmWqX
"Corsair Galleon 100 SD RGB Mechanical Wired Gaming Keyboard – QWERTY US, Stream Deck-Integrated, Pre-Lubed MLX Pulse Thocky Hotswappable PBT Double-Shot Switches, FlashTap SOCD, 8,000Hz – Black","$97,489.71",,,,,https://m.media-amazon.com/images/I/71+tkqze3FL._AC_UY218_.jpg,https://www.amazon.com/Corsair-Galleon-Mechanical-Gaming-Keyboard/dp/B0G3PN1VS4/ref=sr_1_20?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.--Cx334hlmif8kood8PM3swpwk3lffEKyfsSRw09xZNqCznWyoviXaQh1n7OOf0Rs29m_3yPK79xsGE9znAEJcXbqFVvTHFXSSrW1gRk4RY2mlTHKMXpcFOD7rH5ifso3qZB_HiPDWqfCSVMtakgTM9eDztb1S21SHus7jJgeb_sPLpBjFisuQXR32SeIre7e4SwJfsLrk6TGO8LUvYnmawtUBwwstHjE192l0auuP8.vv9H4YSBr0TOZElW0zur7Af8vdvJgGakawoUHnSAKzI&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611794&sprefix=best+gaming+keyboard%2Caps%2C680&xpid=vT6Wq3pbOmWqX
